feature,reference_year,official_item_name_raw,source_dataset,ssdse_version,ssdse_item_code,raw_or_derived,temporal_safe,source_url
H550701,2023,非水洗化人口,SSDSE-A-2026,2026,H550701,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
H6130,2021,小売店数,SSDSE-A-2026,2026,H6130,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
H6131,2021,飲食店数,SSDSE-A-2026,2026,H6131,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
H6132,2021,大型小売店数,SSDSE-A-2026,2026,H6132,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I510120,2023,一般病院数,SSDSE-A-2026,2026,I510120,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I5102,2023,一般診療所数,SSDSE-A-2026,2026,I5102,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I5103,2023,歯科診療所数,SSDSE-A-2026,2026,I5103,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I6100,2022,医師数,SSDSE-A-2026,2026,I6100,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I6200,2022,歯科医師数,SSDSE-A-2026,2026,I6200,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
I6300,2022,薬剤師数,SSDSE-A-2026,2026,I6300,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
J250302,2023,保育所等数（基本票）,SSDSE-A-2026,2026,J250302,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
